m,M,epsilon_of_M,delta_of_M,correct_empirical_probability_laplace,correct_empirical_probability_gaussian,correct_empirical_probability_exponential,correct_empirical_probability_exponential_mechanism
0.0,0.0,0.5,2.2500450006750097e-10,0.994,0.8615,0.9745,0.956
0.01,0.01,0.5,2.2500450006750097e-10,0.996,0.865,0.9705,0.954
0.02,0.02,0.5,2.2500450006750097e-10,0.994,0.863,0.979,0.9475
0.03,0.03,0.5,2.2500450006750097e-10,0.995,0.847,0.9725,0.9565
0.04,0.04,0.5,2.2500450006750097e-10,0.996,0.8705,0.981,0.958
0.05,0.05,0.5,2.2500450006750097e-10,0.9975,0.8715,0.9675,0.9555
0.06,0.06,0.5,2.2500450006750097e-10,0.9965,0.856,0.976,0.9565
0.07,0.07,0.5,2.2500450006750097e-10,0.993,0.853,0.9795,0.954
0.08,0.08,0.5,2.2500450006750097e-10,0.9955,0.8645,0.9735,0.9595
0.09,0.09,0.5,2.2500450006750097e-10,0.996,0.868,0.9805,0.96
0.1,0.1,0.5,2.2500450006750097e-10,0.996,0.8635,0.9705,0.958
0.11,0.11,0.5,2.2500450006750097e-10,0.9915,0.861,0.9785,0.9555
0.12,0.12,0.5,2.2500450006750097e-10,0.9945,0.859,0.9725,0.9575
0.13,0.13,0.5,2.2500450006750097e-10,0.9965,0.8725,0.977,0.96
0.14,0.14,0.5,2.2500450006750097e-10,0.9935,0.859,0.966,0.948
0.15,0.15,0.5,2.2500450006750097e-10,0.9955,0.862,0.9745,0.938
0.16,0.16,0.5,2.2500450006750097e-10,0.997,0.8645,0.9745,0.958
0.17,0.17,0.5,2.2500450006750097e-10,0.9955,0.864,0.9725,0.952
0.18,0.18,0.5,2.2500450006750097e-10,0.9955,0.865,0.969,0.955
0.19,0.19,0.5,2.2500450006750097e-10,0.9955,0.8655,0.977,0.96
0.2,0.2,0.5,2.2500450006750097e-10,0.997,0.8585,0.977,0.953
0.21,0.21,0.5,2.2500450006750097e-10,0.9945,0.8735,0.975,0.958
0.22,0.22,0.5,2.2500450006750097e-10,0.997,0.8515,0.974,0.9525
0.23,0.23,0.5,2.2500450006750097e-10,0.9965,0.874,0.972,0.9585
0.24,0.24,0.5,2.2500450006750097e-10,0.9925,0.8685,0.9775,0.948
0.25,0.25,0.5,2.2500450006750097e-10,0.996,0.8705,0.9765,0.948
0.26,0.26,0.5,2.2500450006750097e-10,0.996,0.8555,0.973,0.9525
0.27,0.27,0.5,2.2500450006750097e-10,0.992,0.8655,0.979,0.954
0.28,0.28,0.5,2.2500450006750097e-10,0.9935,0.865,0.9705,0.946
0.29,0.29,0.5,2.2500450006750097e-10,0.9965,0.8665,0.977,0.947
0.3,0.3,0.5,2.2500450006750097e-10,0.995,0.8575,0.975,0.9485
0.31,0.31,0.5,2.2500450006750097e-10,0.994,0.8695,0.9755,0.945
0.32,0.32,0.5,2.2500450006750097e-10,0.998,0.859,0.974,0.959
0.33,0.33,0.5,2.2500450006750097e-10,0.996,0.863,0.976,0.9545
0.34,0.34,0.5,2.2500450006750097e-10,0.9945,0.8695,0.974,0.9445
0.35,0.35,0.5,2.2500450006750097e-10,0.997,0.872,0.9745,0.955
0.36,0.36,0.5,2.2500450006750097e-10,0.9965,0.85,0.978,0.9465
0.37,0.37,0.5,2.2500450006750097e-10,0.9965,0.8575,0.97,0.95
0.38,0.38,0.5,2.2500450006750097e-10,0.9975,0.861,0.9745,0.96
0.39,0.39,0.5,2.2500450006750097e-10,0.9965,0.86,0.977,0.949
0.4,0.4,0.5,2.2500450006750097e-10,0.992,0.8595,0.9805,0.957
0.41,0.41,0.5,2.2500450006750097e-10,0.9945,0.86,0.974,0.956
0.42,0.42,0.5,2.2500450006750097e-10,0.995,0.867,0.9775,0.953
0.43,0.43,0.5,2.2500450006750097e-10,0.9925,0.8635,0.9705,0.9525
0.44,0.44,0.5,2.2500450006750097e-10,0.997,0.8565,0.975,0.9515
0.45,0.45,0.5,2.2500450006750097e-10,0.9955,0.8595,0.975,0.9475
0.46,0.46,0.5,2.2500450006750097e-10,0.995,0.87,0.969,0.95
0.47,0.47,0.5,2.2500450006750097e-10,0.9975,0.8615,0.9745,0.953
0.48,0.48,0.5,2.2500450006750097e-10,0.996,0.8655,0.9735,0.95
0.49,0.49,0.5,2.2500450006750097e-10,0.995,0.864,0.9775,0.959
0.5,0.5,0.5,2.2500450006750097e-10,0.9935,0.868,0.975,0.953
0.51,0.51,0.5,2.2500450006750097e-10,0.9955,0.8595,0.973,0.952
0.52,0.52,0.5,2.2500450006750097e-10,0.994,0.846,0.98,0.953
0.53,0.53,0.5,2.2500450006750097e-10,0.996,0.851,0.9725,0.9545
0.54,0.54,0.5,2.2500450006750097e-10,0.9935,0.8645,0.976,0.956
0.55,0.55,0.5,2.2500450006750097e-10,0.996,0.8585,0.9725,0.947
0.56,0.56,0.5,2.2500450006750097e-10,0.996,0.8695,0.9755,0.958
0.57,0.57,0.5,2.2500450006750097e-10,0.9955,0.879,0.979,0.9535
0.58,0.58,0.5,2.2500450006750097e-10,0.994,0.8615,0.974,0.9525
0.59,0.59,0.5,2.2500450006750097e-10,0.9935,0.865,0.969,0.953
0.6,0.6,0.5,2.2500450006750097e-10,0.9945,0.8535,0.976,0.951
0.61,0.61,0.5,2.2500450006750097e-10,0.9955,0.8525,0.98,0.9455
0.62,0.62,0.5,2.2500450006750097e-10,0.996,0.868,0.977,0.951
0.63,0.63,0.5,2.2500450006750097e-10,0.9955,0.859,0.97,0.956
0.64,0.64,0.5,2.2500450006750097e-10,0.9955,0.8575,0.98,0.952
