m,M,epsilon_of_M,delta_of_M,correct_empirical_probability_laplace,correct_empirical_probability_gaussian,correct_empirical_probability_exponential,correct_empirical_probability_exponential_mechanism
0.0,0.0,1.0,2.2500450006750097e-10,0.9995,0.9805,0.9985,0.999
0.01,0.01,1.0,2.2500450006750097e-10,0.9745,0.9275,0.967,0.967
0.02,0.02,1.0,2.2500450006750097e-10,0.938,0.886,0.9245,0.9255
0.03,0.03,1.0,2.2500450006750097e-10,0.8865,0.8485,0.8875,0.883
0.04,0.04,1.0,2.2500450006750097e-10,0.8645,0.8195,0.8545,0.8515
0.05,0.05,1.0,2.2500450006750097e-10,0.8255,0.7805,0.824,0.812
0.06,0.06,1.0,2.2500450006750097e-10,0.809,0.7955,0.8095,0.809
0.07,0.07,1.0,2.2500450006750097e-10,0.7735,0.7675,0.778,0.7805
0.08,0.08,1.0,2.2500450006750097e-10,0.765,0.7455,0.7645,0.7725
0.09,0.09,1.0,2.2500450006750097e-10,0.7395,0.727,0.733,0.724
0.1,0.1,1.0,2.2500450006750097e-10,0.7495,0.729,0.735,0.7455
0.11,0.11,1.0,2.2500450006750097e-10,0.737,0.7165,0.735,0.7275
0.12,0.12,1.0,2.2500450006750097e-10,0.7215,0.7,0.7175,0.718
0.13,0.13,1.0,2.2500450006750097e-10,0.693,0.6835,0.697,0.688
0.14,0.14,1.0,2.2500450006750097e-10,0.6765,0.675,0.6765,0.6825
0.15,0.15,1.0,2.2500450006750097e-10,0.6795,0.6795,0.6745,0.68
0.16,0.16,1.0,2.2500450006750097e-10,0.658,0.6585,0.6615,0.664
0.17,0.17,1.0,2.2500450006750097e-10,0.672,0.6615,0.674,0.6705
0.18,0.18,1.0,2.2500450006750097e-10,0.679,0.665,0.676,0.6735
0.19,0.19,1.0,2.2500450006750097e-10,0.6505,0.646,0.653,0.647
0.2,0.2,1.0,2.2500450006750097e-10,0.6335,0.623,0.631,0.6295
0.21,0.21,1.0,2.2500450006750097e-10,0.6335,0.6245,0.63,0.6325
0.22,0.22,1.0,2.2500450006750097e-10,0.6215,0.621,0.629,0.6205
0.23,0.23,1.0,2.2500450006750097e-10,0.609,0.6105,0.605,0.6105
0.24,0.24,1.0,2.2500450006750097e-10,0.6155,0.6225,0.6155,0.6215
0.25,0.25,1.0,2.2500450006750097e-10,0.6095,0.6025,0.6115,0.6075
0.26,0.26,1.0,2.2500450006750097e-10,0.5825,0.5845,0.5935,0.5895
0.27,0.27,1.0,2.2500450006750097e-10,0.6015,0.5915,0.6035,0.601
0.28,0.28,1.0,2.2500450006750097e-10,0.598,0.5905,0.5925,0.5945
0.29,0.29,1.0,2.2500450006750097e-10,0.59,0.5805,0.583,0.5865
0.3,0.3,1.0,2.2500450006750097e-10,0.591,0.5785,0.5895,0.5915
0.31,0.31,1.0,2.2500450006750097e-10,0.5845,0.58,0.5835,0.5875
0.32,0.32,1.0,2.2500450006750097e-10,0.5565,0.54,0.553,0.55
0.33,0.33,1.0,2.2500450006750097e-10,0.5445,0.544,0.542,0.5345
0.34,0.34,1.0,2.2500450006750097e-10,0.5515,0.5355,0.544,0.5495
0.35,0.35,1.0,2.2500450006750097e-10,0.5445,0.5315,0.539,0.5385
0.36,0.36,1.0,2.2500450006750097e-10,0.5405,0.536,0.543,0.533
0.37,0.37,1.0,2.2500450006750097e-10,0.545,0.5385,0.5505,0.547
0.38,0.38,1.0,2.2500450006750097e-10,0.513,0.5035,0.512,0.5125
0.39,0.39,1.0,2.2500450006750097e-10,0.516,0.512,0.514,0.519
0.4,0.4,1.0,2.2500450006750097e-10,0.5165,0.514,0.5165,0.513
0.41,0.41,1.0,2.2500450006750097e-10,0.521,0.5185,0.518,0.52
0.42,0.42,1.0,2.2500450006750097e-10,0.509,0.513,0.5085,0.5145
0.43,0.43,1.0,2.2500450006750097e-10,0.51,0.5085,0.506,0.517
0.44,0.44,1.0,2.2500450006750097e-10,0.503,0.497,0.502,0.5055
0.45,0.45,1.0,2.2500450006750097e-10,0.4855,0.471,0.484,0.4805
0.46,0.46,1.0,2.2500450006750097e-10,0.482,0.4775,0.4825,0.486
0.47,0.47,1.0,2.2500450006750097e-10,0.494,0.4785,0.4965,0.491
0.48,0.48,1.0,2.2500450006750097e-10,0.475,0.47,0.484,0.4825
0.49,0.49,1.0,2.2500450006750097e-10,0.4775,0.47,0.4655,0.4775
0.5,0.5,1.0,2.2500450006750097e-10,0.4695,0.4675,0.4665,0.47
0.51,0.51,1.0,2.2500450006750097e-10,0.477,0.4645,0.4725,0.473
0.52,0.52,1.0,2.2500450006750097e-10,0.4655,0.447,0.4685,0.4725
0.53,0.53,1.0,2.2500450006750097e-10,0.4375,0.4415,0.4405,0.4395
0.54,0.54,1.0,2.2500450006750097e-10,0.448,0.4435,0.45,0.442
0.55,0.55,1.0,2.2500450006750097e-10,0.4375,0.4335,0.4405,0.4365
0.56,0.56,1.0,2.2500450006750097e-10,0.4345,0.43,0.429,0.432
0.57,0.57,1.0,2.2500450006750097e-10,0.439,0.4335,0.4375,0.4455
0.58,0.58,1.0,2.2500450006750097e-10,0.4315,0.42,0.4335,0.4345
0.59,0.59,1.0,2.2500450006750097e-10,0.416,0.4,0.416,0.4145
0.6,0.6,1.0,2.2500450006750097e-10,0.416,0.4085,0.411,0.4175
