m,M,difference_laplace_error_M_minus_MoS,difference_gaussian_error_M_minus_MoS,difference_exponential_error_M_minus_MoS,difference_exponential_mechanism_error_M_minus_MoS,difference_laplace_error_M_minus_MoSChangeEpsDelta,difference_gaussian_error_M_minus_MoSChangeEpsDelta,difference_exponential_error_M_minus_MoSChangeEpsDelta,difference_exponential_mechanism_error_M_minus_MoSChangeEpsDelta,difference_laplace_error_MChangeEpsDelta_minus_MoS,difference_gaussian_error_MChangeEpsDelta_minus_MoS,difference_exponential_error_MChangeEpsDelta_minus_MoS,difference_exponential_mechanism_error_MChangeEpsDelta_minus_MoS
0.0,0.0,-0.0004999999999999449,0.007000000000000006,0.0015000000000000568,0.0014999999999999458,-0.0,0.0020000000000000018,-0.0,-0.0,-0.0004999999999999449,0.008000000000000007,-0.0004999999999999449,0.0010000000000000009
0.01,0.01,-0.025499999999999967,-0.05249999999999999,-0.032500000000000084,-0.031000000000000028,-0.020499999999999963,-0.04299999999999993,-0.02650000000000008,-0.03300000000000003,-0.025499999999999967,-0.04800000000000004,-0.03200000000000003,-0.031000000000000028
0.02,0.02,-0.062000000000000055,-0.09250000000000003,-0.07400000000000007,-0.07350000000000001,-0.07650000000000001,-0.10150000000000003,-0.08100000000000007,-0.10199999999999998,-0.062000000000000055,-0.09199999999999997,-0.07400000000000007,-0.07150000000000001
0.03,0.03,-0.11350000000000005,-0.128,-0.11150000000000004,-0.11399999999999999,-0.10699999999999998,-0.124,-0.11699999999999999,-0.125,-0.11350000000000005,-0.131,-0.1100000000000001,-0.11350000000000005
0.04,0.04,-0.13549999999999995,-0.15549999999999997,-0.14500000000000002,-0.14649999999999996,-0.16049999999999998,-0.15649999999999997,-0.15900000000000003,-0.16249999999999998,-0.13549999999999995,-0.15700000000000003,-0.14400000000000002,-0.14700000000000002
0.05,0.05,-0.1745,-0.1945,-0.17400000000000004,-0.1855,-0.1955,-0.1925,-0.1855,-0.18500000000000005,-0.1745,-0.1905,-0.17500000000000004,-0.18299999999999994
0.06,0.06,-0.19099999999999995,-0.18300000000000005,-0.19000000000000006,-0.18999999999999995,-0.20450000000000002,-0.1975,-0.20550000000000002,-0.20550000000000002,-0.19099999999999995,-0.1735,-0.1865,-0.18799999999999994
0.07,0.07,-0.22650000000000003,-0.21300000000000008,-0.22050000000000003,-0.21650000000000003,-0.21850000000000003,-0.21750000000000003,-0.2270000000000001,-0.23299999999999998,-0.22650000000000003,-0.20750000000000002,-0.22050000000000003,-0.21550000000000002
0.08,0.08,-0.235,-0.22999999999999998,-0.23450000000000004,-0.22550000000000003,-0.22399999999999998,-0.22599999999999998,-0.22450000000000003,-0.236,-0.23450000000000004,-0.21899999999999997,-0.23450000000000004,-0.2230000000000001
0.09,0.09,-0.26049999999999995,-0.25450000000000006,-0.26550000000000007,-0.2725000000000001,-0.237,-0.2300000000000001,-0.23750000000000004,-0.23450000000000004,-0.26049999999999995,-0.242,-0.266,-0.271
