m,M,epsilon_of_M,delta_of_M,correct_empirical_probability_laplace,correct_empirical_probability_gaussian,correct_empirical_probability_exponential,correct_empirical_probability_exponential_mechanism
0.0,0.0,2.0,2.2500450006750097e-10,1.0,1.0,1.0,1.0
0.01,0.01,2.0086960664121003,2.2727727279545544e-10,0.985,0.967,0.98,0.983
0.02,0.02,2.017492331901557,2.295964286403071e-10,0.9335,0.92,0.9255,0.924
0.03,0.03,2.0263908845731886,2.3196340213144425e-10,0.882,0.87,0.889,0.8835
0.04,0.04,2.0353938775840033,2.343796875703135e-10,0.8515,0.852,0.8505,0.85
0.05,0.05,2.044503531868755,2.3684684217631674e-10,0.8285,0.826,0.8305,0.8245
0.06,0.06,2.0537221390097278,2.3936648943351166e-10,0.803,0.8045,0.8015,0.8005
0.07,0.07,2.0630520642599994,2.419403226532267e-10,0.7955,0.79,0.7935,0.7905
0.08,0.08,2.0724957497301446,2.4457010876902273e-10,0.784,0.775,0.7775,0.7815
0.09,0.09,2.0820557177490753,2.4725769238186914e-10,0.7435,0.7395,0.7395,0.7395
0.1,0.1,2.091734574410594,2.5000500007500104e-10,0.7425,0.7275,0.738,0.738
0.11,0.11,2.101535013318088,2.5281404501966395e-10,0.7195,0.7315,0.72,0.723
0.12,0.12,2.1114598195408156,2.556869318948873e-10,0.719,0.7145,0.72,0.719
0.13,0.13,2.121511873796272,2.586258621465528e-10,0.715,0.717,0.717,0.7215
0.14,0.14,2.1316941568743455,2.616331396133732e-10,0.679,0.673,0.6815,0.681
0.15,0.15,2.142009754320214,2.647111765500011e-10,0.689,0.6855,0.684,0.6825
0.16,0.16,2.152461861394364,2.6786250008035834e-10,0.6835,0.6785,0.686,0.6845
0.17,0.17,2.1630537883296337,2.7108975911747103e-10,0.675,0.673,0.6725,0.671
0.18,0.18,2.1737889659069087,2.743957317896352e-10,0.656,0.6575,0.656,0.658
0.19,0.19,2.1846709513729072,2.777833334166678e-10,0.6465,0.6415,0.651,0.649
0.2,0.2,2.1957034347255657,2.8125562508437606e-10,0.6345,0.638,0.634,0.636
0.21,0.21,2.2068902453947676,2.8481582287025427e-10,0.621,0.628,0.6245,0.622
0.22,0.22,2.21823535934864,2.884673077788472e-10,0.6275,0.6235,0.626,0.625
0.23,0.23,2.229742906658366,2.9221363645129984e-10,0.638,0.633,0.6355,0.6335
0.24,0.24,2.24141717955747,2.9605855272039604e-10,0.6275,0.632,0.626,0.6275
0.25,0.25,2.253262641034891,3.000060000900011e-10,0.6155,0.614,0.6125,0.614
0.26,0.26,2.2652839340048287,3.040601352263525e-10,0.6145,0.61,0.613,0.6115
0.27,0.27,2.2774858911004476,3.0822534255822035e-10,0.615,0.6215,0.6165,0.613
0.28,0.28,2.289873545143086,3.125062500937512e-10,0.5735,0.5705,0.5745,0.5755
0.29,0.29,2.3024521403436493,3.16907746573945e-10,0.576,0.577,0.577,0.58
0.3,0.3,2.3152271442985195,3.214350000964299e-10,0.58,0.576,0.575,0.575
0.31,0.31,2.3282042608485662,3.2609347835869696e-10,0.5795,0.579,0.583,0.572
0.32,0.32,2.3413894438768876,3.3088897068750144e-10,0.5545,0.553,0.5545,0.5535
0.33,0.33,2.3547889121287118,3.35827612041046e-10,0.5635,0.56,0.5635,0.5725
0.34,0.34,2.368409165145718,3.409159091931833e-10,0.56,0.556,0.5645,0.553
0.35,0.35,2.3822570004168573,3.461607693346167e-10,0.5585,0.5565,0.5555,0.555
0.36,0.36,2.396339531858863,3.5156953135547025e-10,0.549,0.548,0.5435,0.544
0.37,0.37,2.410664209752091,3.571500001071442e-10,0.5275,0.5285,0.529,0.527
0.38,0.38,2.4252388422714537,3.6291048397984015e-10,0.533,0.5335,0.532,0.5325
0.39,0.39,2.4400716187680507,3.6885983617623097e-10,0.524,0.53,0.5235,0.5225
0.4,0.4,2.455171134975177,3.7500750011250143e-10,0.516,0.5125,0.5175,0.513
0.41,0.41,2.4705464203327727,3.8136355943644206e-10,0.502,0.5045,0.503,0.5
0.42,0.42,2.486206967647639,3.8793879321982907e-10,0.507,0.511,0.5095,0.5125
0.43,0.43,2.5021627653331873,3.947447369605278e-10,0.5135,0.5125,0.514,0.513
0.44,0.44,2.5184243325027045,4.017937501205373e-10,0.4915,0.493,0.4915,0.4915
0.45,0.45,2.5350027572246807,4.0909909103181966e-10,0.484,0.4835,0.484,0.483
0.46,0.46,2.5519097382883658,4.1667500012500153e-10,0.4885,0.4865,0.485,0.484
0.47,0.47,2.5691576308733297,4.2453679258019024e-10,0.463,0.4625,0.467,0.465
0.48,0.48,2.5867594965692633,4.3270096166827104e-10,0.4715,0.473,0.4735,0.471
0.49,0.49,2.6047291582529537,4.411852942500018e-10,0.4895,0.4885,0.4905,0.485
0.5,0.5,2.6230812603996645,4.5000900013500195e-10,0.46,0.46,0.4635,0.4615
0.51,0.51,2.6418313354877627,4.591928572806142e-10,0.4635,0.4645,0.4605,0.4625
0.52,0.52,2.6609958772505924,4.68759375140627e-10,0.4655,0.47,0.4665,0.4665
0.53,0.53,2.68059242164071,4.787329788670233e-10,0.4645,0.464,0.4645,0.465
0.54,0.54,2.7006396365018737,4.891402175380455e-10,0.4655,0.4675,0.4665,0.4625
0.55,0.55,2.721157421097376,5.000100001500021e-10,0.4345,0.435,0.437,0.438
0.56,0.56,2.7421670168240397,5.113738637897746e-10,0.45,0.447,0.4505,0.448
0.57,0.57,2.7636911306551446,5.232662792267464e-10,0.418,0.4195,0.418,0.4235
0.58,0.58,2.7857540731098784,5.357250001607165e-10,0.4245,0.4105,0.422,0.424
0.59,0.59,2.808381912850201,5.487914635792704e-10,0.4315,0.437,0.431,0.431
0.6,0.6,2.8316026503692253,5.625112501687521e-10,0.4135,0.412,0.4155,0.4175
0.61,0.61,2.855446413672155,5.769346155576944e-10,0.4065,0.4075,0.4065,0.4085
0.62,0.62,2.8799456793783946,5.921171054407921e-10,0.407,0.4135,0.408,0.41
0.63,0.63,2.9051355233138145,6.08120270452705e-10,0.3895,0.394,0.3875,0.3935
0.64,0.64,2.931053905442829,6.250125001875024e-10,0.411,0.407,0.406,0.4065
0.65,0.65,2.95774199494668,6.428700001928598e-10,0.404,0.406,0.406,0.4065
0.66,0.66,2.9852445424330374,6.617779413750029e-10,0.3885,0.3935,0.389,0.3945
0.67,0.67,3.013610307722381,6.818318183863666e-10,0.384,0.384,0.3905,0.386
0.68,0.68,3.04289255347669,7.031390627109405e-10,0.376,0.379,0.3775,0.379
0.69,0.69,3.073149617218619,7.258209679596802e-10,0.3815,0.375,0.3825,0.379
