m,M,epsilon_of_M,delta_of_M,correct_empirical_probability_laplace,correct_empirical_probability_gaussian,correct_empirical_probability_exponential,correct_empirical_probability_exponential_mechanism
0.0,0.0,0.24999999999999997,2.2500450006750097e-10,1.0,1.0,1.0,0.0
0.01,0.01,0.2477855577623473,2.2275445506682583e-10,1.0,1.0,1.0,0.0
0.02,0.02,0.24556620088507242,2.2050441006615078e-10,1.0,1.0,1.0,0.0
0.03,0.03,0.24334190750495657,2.1825436506547592e-10,1.0,1.0,1.0,0.0
0.04,0.04,0.24111265561256523,2.1600432006480083e-10,1.0,1.0,1.0,0.0
0.05,0.05,0.23887842305094018,2.1375427506412576e-10,1.0,1.0,1.0,0.0
0.06,0.06,0.23663918751428026,2.115042300634509e-10,1.0,1.0,1.0,0.0
0.07,0.07,0.23439492654660343,2.0925418506277583e-10,1.0,1.0,1.0,0.0
0.08,0.08,0.2321456175403962,2.0700414006210094e-10,1.0,1.0,1.0,0.0
0.09,0.09,0.229891237735247,2.0475409506142587e-10,1.0,1.0,1.0,0.0
0.1,0.1,0.2276317642164649,2.0250405006075078e-10,1.0,1.0,1.0,0.0
0.11,0.11,0.2253671739136807,2.0025400506007576e-10,1.0,1.0,1.0,0.0
0.12,0.12,0.22309744359943548,1.9800396005940085e-10,1.0,1.0,1.0,0.0
0.13,0.13,0.22082254988774924,1.9575391505872575e-10,1.0,1.0,1.0,0.0
0.14,0.14,0.21854246923267656,1.9350387005805068e-10,1.0,1.0,1.0,0.0
0.15,0.15,0.21625717792684404,1.9125382505737582e-10,1.0,1.0,1.0,0.0
0.16,0.16,0.2139666520999698,1.8900378005670073e-10,1.0,1.0,1.0,0.0
0.17,0.17,0.21167086771737015,1.8675373505602566e-10,1.0,1.0,1.0,0.0
0.18,0.18,0.2093698005784441,1.8450369005535077e-10,1.0,1.0,1.0,0.0
0.19,0.19,0.20706342631514338,1.822536450546757e-10,1.0,1.0,1.0,0.0
0.2,0.2,0.2047517203904249,1.800036000540008e-10,1.0,1.0,1.0,0.0
0.21,0.21,0.20243465809668282,1.7775355505332577e-10,1.0,1.0,1.0,0.0
0.22,0.22,0.20011221455416608,1.7550351005265068e-10,1.0,1.0,1.0,0.0
0.23,0.23,0.19778436470937377,1.7325346505197566e-10,1.0,1.0,1.0,0.0
0.24,0.24,0.19545108333343392,1.7100342005130077e-10,1.0,1.0,1.0,0.0
0.25,0.25,0.19311234502046387,1.6875337505062563e-10,1.0,1.0,1.0,0.0
0.26,0.26,0.19076812418590924,1.665033300499506e-10,1.0,1.0,1.0,0.0
0.27,0.27,0.18841839506486482,1.6425328504927567e-10,1.0,1.0,1.0,0.0
