m,M,epsilon_of_M,delta_of_M,correct_empirical_probability_laplace,correct_empirical_probability_gaussian,correct_empirical_probability_exponential,correct_empirical_probability_exponential_mechanism
0.0,0.0,0.24999999999999997,2.2500450006750097e-10,1.0,1.0,1.0,0.0
0.01,0.01,0.252231843108818,2.2727727279545544e-10,1.0,1.0,1.0,0.0
0.02,0.02,0.2545041109790552,2.295964286403071e-10,1.0,1.0,1.0,0.0
0.03,0.03,0.2568179179810562,2.3196340213144425e-10,1.0,1.0,1.0,0.0
0.04,0.04,0.2591744200495381,2.343796875703135e-10,1.0,1.0,1.0,0.0
0.05,0.05,0.26157481665031834,2.3684684217631674e-10,1.0,1.0,1.0,0.0
0.06,0.06,0.2640203528603893,2.3936648943351166e-10,1.0,1.0,1.0,0.0
0.07,0.07,0.26651232156907717,2.419403226532267e-10,1.0,1.0,1.0,0.0
0.08,0.08,0.2690520658086282,2.4457010876902273e-10,1.0,1.0,1.0,0.0
0.09,0.09,0.27164098122324504,2.4725769238186914e-10,1.0,1.0,1.0,0.0
0.1,0.1,0.27428051868631076,2.5000500007500104e-10,1.0,1.0,1.0,0.0
0.11,0.11,0.2769721870763485,2.5281404501966395e-10,1.0,1.0,1.0,0.0
0.12,0.12,0.2797175562231261,2.556869318948873e-10,1.0,1.0,1.0,0.0
0.13,0.13,0.2825182600362664,2.586258621465528e-10,1.0,1.0,1.0,0.0
0.14,0.14,0.28537599982977657,2.616331396133732e-10,1.0,1.0,1.0,0.0
0.15,0.15,0.2882925478570475,2.647111765500011e-10,1.0,1.0,1.0,0.0
0.16,0.16,0.2912697510721274,2.6786250008035834e-10,1.0,1.0,1.0,0.0
0.17,0.17,0.29430953513446373,2.7108975911747103e-10,1.0,1.0,1.0,0.0
0.18,0.18,0.29741390867581596,2.743957317896352e-10,1.0,1.0,1.0,0.0
0.19,0.19,0.3005849678497158,2.777833334166678e-10,1.0,1.0,1.0,0.0
0.2,0.2,0.3038249011856972,2.8125562508437606e-10,1.0,1.0,1.0,0.0
0.21,0.21,0.30713599477254494,2.8481582287025427e-10,1.0,1.0,1.0,0.0
0.22,0.22,0.31052063779706046,2.884673077788472e-10,1.0,1.0,1.0,0.0
0.23,0.23,0.3139813284673266,2.9221363645129984e-10,1.0,1.0,1.0,0.0
0.24,0.24,0.3175206803522031,2.9605855272039604e-10,1.0,1.0,1.0,0.0
0.25,0.25,0.3211414291718321,3.000060000900011e-10,1.0,1.0,1.0,0.0
0.26,0.26,0.3248464400773247,3.040601352263525e-10,1.0,1.0,1.0,0.0
0.27,0.27,0.3286387154615538,3.0822534255822035e-10,1.0,1.0,1.0,0.0
0.28,0.28,0.33252140334718094,3.125062500937512e-10,1.0,1.0,1.0,0.0
0.29,0.29,0.33649780640269505,3.16907746573945e-10,1.0,1.0,1.0,0.0
0.3,0.3,0.34057139164247785,3.214350000964299e-10,1.0,1.0,1.0,0.0
0.31,0.31,0.34474580087270934,3.2609347835869696e-10,1.0,1.0,1.0,0.0
0.32,0.32,0.3490248619514729,3.3088897068750144e-10,1.0,1.0,1.0,0.0
0.33,0.33,0.3534126009387138,3.35827612041046e-10,1.0,1.0,1.0,0.0
0.34,0.34,0.357913255219926,3.409159091931833e-10,1.0,1.0,1.0,0.0
0.35,0.35,0.36253128769667486,3.461607693346167e-10,1.0,1.0,1.0,0.0
0.36,0.36,0.3672714021474646,3.5156953135547025e-10,1.0,1.0,1.0,0.0
0.37,0.37,0.3721385598742083,3.571500001071442e-10,1.0,1.0,1.0,0.0
0.38,0.38,0.37713799776282103,3.6291048397984015e-10,1.0,1.0,1.0,0.0
0.39,0.39,0.3822752479015109,3.6885983617623097e-10,1.0,1.0,1.0,0.0
0.4,0.4,0.38755615891737877,3.7500750011250143e-10,1.0,1.0,1.0,0.0
0.41,0.41,0.3929869192113526,3.8136355943644206e-10,1.0,1.0,1.0,0.0
0.42,0.42,0.3985740822935692,3.8793879321982907e-10,1.0,1.0,1.0,0.0
0.43,0.43,0.40432459444653623,3.947447369605278e-10,1.0,1.0,1.0,0.0
0.44,0.44,0.41024582497226336,4.017937501205373e-10,1.0,1.0,1.0,0.0
0.45,0.45,0.41634559931263104,4.0909909103181966e-10,1.0,1.0,1.0,0.0
0.46,0.46,0.4226322353702709,4.1667500012500153e-10,1.0,1.0,1.0,0.0
0.47,0.47,0.4291145834010149,4.2453679258019024e-10,1.0,1.0,1.0,0.0
0.48,0.48,0.43580206989951775,4.3270096166827104e-10,1.0,1.0,1.0,0.0
0.49,0.49,0.44270474595816484,4.411852942500018e-10,1.0,1.0,1.0,0.0
0.5,0.5,0.44983334064729175,4.5000900013500195e-10,1.0,1.0,1.0,0.0
0.51,0.51,0.45719932004375335,4.591928572806142e-10,1.0,1.0,1.0,0.0
0.52,0.52,0.464814952627111,4.68759375140627e-10,1.0,1.0,1.0,0.0
0.53,0.53,0.47269338187064747,4.787329788670233e-10,1.0,1.0,1.0,0.0
0.54,0.54,0.48084870698114207,4.891402175380455e-10,1.0,1.0,1.0,0.0
0.55,0.55,0.48929607289060173,5.000100001500021e-10,1.0,1.0,1.0,0.0
0.56,0.56,0.498051770779506,5.113738637897746e-10,1.0,1.0,1.0,0.0
0.57,0.57,0.5071333506202754,5.232662792267464e-10,1.0,1.0,1.0,0.0
0.58,0.58,0.5165597474785545,5.357250001607165e-10,1.0,1.0,1.0,0.0
0.59,0.59,0.5263514236071962,5.487914635792704e-10,1.0,1.0,1.0,0.0
0.6,0.6,0.5365305287244002,5.625112501687521e-10,1.0,1.0,1.0,0.0
0.61,0.61,0.5471210812968036,5.769346155576944e-10,1.0,1.0,1.0,0.0
0.62,0.62,0.5581491741676016,5.921171054407921e-10,1.0,1.0,1.0,0.0
0.63,0.63,0.5696432085006782,6.08120270452705e-10,1.0,1.0,1.0,0.0
0.64,0.64,0.5816341607818309,6.250125001875024e-10,1.0,1.0,1.0,0.0
0.65,0.65,0.5941558885630488,6.428700001928598e-10,1.0,1.0,1.0,0.0
0.66,0.66,0.607245481801081,6.617779413750029e-10,1.0,1.0,1.0,0.0
0.67,0.67,0.6209436680867643,6.818318183863666e-10,1.0,1.0,1.0,0.0
0.68,0.68,0.6352952818645222,7.031390627109405e-10,1.0,1.0,1.0,0.0
0.69,0.69,0.6503498100046302,7.258209679596802e-10,1.0,1.0,1.0,0.0
0.7,0.7,0.6661620289505679,7.500150002250029e-10,1.0,1.0,1.0,0.0
0.71,0.71,0.6827927523025192,7.758775864396581e-10,1.0,1.0,1.0,0.0
0.72,0.72,0.7003097123625974,8.035875002410746e-10,1.0,1.0,1.0,0.0
0.73,0.73,0.7187886051942507,8.333500002500031e-10,1.0,1.0,1.0,0.0
0.74,0.74,0.7383143366014491,8.654019233365421e-10,1.0,1.0,1.0,0.0
0.75,0.75,0.7589825167587798,9.000180002700039e-10,1.0,1.0,1.0,0.0
0.76,0.76,0.7809012649319927,9.37518750281254e-10,1.0,1.0,1.0,0.0
0.77,0.77,0.804193404118253,9.78280435076091e-10,1.0,1.0,1.0,0.0
0.78,0.78,0.8289991503834558,1.0227477275795492e-09,1.0,1.0,1.0,0.0
0.79,0.79,0.8554794359318091,1.0714500003214333e-09,1.0,1.0,1.0,0.0
0.8,0.8,0.8838200526074405,1.1250225003375047e-09,1.0,1.0,1.0,0.0
0.81,0.81,0.9142368698010942,1.1842342108815842e-09,1.0,1.0,1.0,0.0
0.82,0.82,0.9469824771800911,1.2500250003750043e-09,1.0,1.0,1.0,0.0
0.83,0.83,0.9823547433177496,1.3235558827500047e-09,1.0,1.0,1.0,0.0
0.84,0.84,1.0207079903521874,1.4062781254218806e-09,1.0,1.0,1.0,0.0
0.85,0.85,1.062467802085996,1.5000300004500057e-09,1.0,1.0,1.0,0.0
0.86,0.86,1.1081509758442802,1.6071750004821492e-09,1.0,1.0,1.0,0.0
0.87,0.87,1.1583929144508198,1.7308038466730842e-09,1.0,1.0,1.0,0.0
0.88,0.88,1.2139860457936094,1.875037500562508e-09,1.0,1.0,1.0,0.0
0.89,0.89,1.275935050784628,2.0454954551590984e-09,1.0,1.0,1.0,0.0
0.9,0.9,1.3455385537002147,2.2500450006750093e-09,1.0,1.0,1.0,0.0
0.91,0.91,1.424514083833287,2.500050000750011e-09,1.0,1.0,1.0,0.0
0.92,0.92,1.5151970565903565,2.8125562508437628e-09,1.0,1.0,1.0,0.0
0.93,0.93,1.6208734670599652,3.2143500009642996e-09,1.0,1.0,1.0,0.0
0.94,0.94,1.7463709781420602,3.750075001125011e-09,1.0,1.0,1.0,0.0
0.95,0.95,1.8991940825207472,4.500090001350014e-09,1.0,1.0,1.0,0.0
0.96,0.96,2.091942505168724,5.625112501687516e-09,1.0,1.0,1.0,0.0
0.97,0.97,2.348276545835657,7.500150002250021e-09,1.0,1.0,1.0,0.0
0.98,0.98,2.721379031882781,1.1250225003375031e-08,0.9995,0.9995,0.9995,0.0005
0.99,0.99,3.3810811219267833,2.2500450006750063e-08,0.995,0.9955,0.9955,0.005
0.1,0.2,,2.5000500007500104e-10,,,,
0.1,0.3,,2.5000500007500104e-10,,,,
0.1,0.4,,2.5000500007500104e-10,,,,
0.1,0.5,,2.5000500007500104e-10,,,,
0.1,0.6,,2.5000500007500104e-10,,,,
0.1,0.7,,2.5000500007500104e-10,,,,
0.1,0.8,,2.5000500007500104e-10,,,,
0.1,0.9,,2.5000500007500104e-10,,,,
0.2,0.3,,2.8125562508437606e-10,,,,
0.2,0.4,,2.8125562508437606e-10,,,,
0.2,0.5,,2.8125562508437606e-10,,,,
0.2,0.6,,2.8125562508437606e-10,,,,
0.2,0.7,,2.8125562508437606e-10,,,,
0.2,0.8,,2.8125562508437606e-10,,,,
0.2,0.9,,2.8125562508437606e-10,,,,
0.3,0.4,,3.214350000964299e-10,,,,
0.3,0.5,,3.214350000964299e-10,,,,
0.3,0.6,,3.214350000964299e-10,,,,
0.3,0.7,,3.214350000964299e-10,,,,
0.3,0.8,,3.214350000964299e-10,,,,
0.3,0.9,,3.214350000964299e-10,,,,
0.4,0.5,0.0,3.7500750011250143e-10,,,,
0.4,0.6,,3.7500750011250143e-10,,,,
0.4,0.7,,3.7500750011250143e-10,,,,
0.4,0.8,,3.7500750011250143e-10,,,,
0.4,0.9,,3.7500750011250143e-10,,,,
0.5,0.6,0.11107280030812315,4.5000900013500195e-10,1.0,1.0,1.0,0.0
0.5,0.7,,4.5000900013500195e-10,,,,
0.5,0.8,,4.5000900013500195e-10,,,,
0.5,0.9,,4.5000900013500195e-10,,,,
0.6,0.7,0.0,5.625112501687521e-10,,,,
0.6,0.8,,5.625112501687521e-10,,,,
0.6,0.9,,5.625112501687521e-10,,,,
0.7,0.8,,7.500150002250029e-10,,,,
0.7,0.9,,7.500150002250029e-10,,,,
0.8,0.9,,1.1250225003375047e-09,,,,
