m,M,epsilon_of_M,delta_of_M,correct_empirical_probability_laplace,correct_empirical_probability_gaussian,correct_empirical_probability_exponential,correct_empirical_probability_exponential_mechanism
0.0,0.0,1.0,2.2500450006750097e-10,1.0,1.0,1.0,0.0
0.01,0.01,1.0063647580360118,2.2727727279545544e-10,1.0,1.0,1.0,0.0
0.02,0.02,1.0128179179349637,2.295964286403071e-10,1.0,1.0,1.0,0.0
0.03,0.03,1.0193614715465262,2.3196340213144425e-10,1.0,1.0,1.0,0.0
0.04,0.04,1.0259974746609668,2.343796875703135e-10,1.0,1.0,1.0,0.0
0.05,0.05,1.032728049717885,2.3684684217631674e-10,1.0,1.0,1.0,0.0
0.06,0.06,1.0395553886588504,2.3936648943351166e-10,1.0,1.0,1.0,0.0
0.07,0.07,1.046481755933204,2.419403226532267e-10,1.0,1.0,1.0,0.0
0.08,0.08,1.053509491666951,2.4457010876902273e-10,1.0,1.0,1.0,0.0
0.09,0.09,1.0606410150054733,2.4725769238186914e-10,1.0,1.0,1.0,0.0
0.1,0.1,1.067878827641591,2.5000500007500104e-10,1.0,1.0,1.0,0.0
0.11,0.11,1.0752255175414156,2.5281404501966395e-10,1.0,1.0,1.0,0.0
0.12,0.12,1.0826837628814319,2.556869318948873e-10,1.0,1.0,1.0,0.0
0.13,0.13,1.0902563362112878,2.586258621465528e-10,1.0,1.0,1.0,0.0
0.14,0.14,1.0979461088579963,2.616331396133732e-10,1.0,1.0,1.0,0.0
0.15,0.15,1.1057560555884811,2.647111765500011e-10,1.0,1.0,1.0,0.0
0.16,0.16,1.1136892595488546,2.6786250008035834e-10,1.0,1.0,1.0,0.0
0.17,0.17,1.1217489175003088,2.7108975911747103e-10,1.0,1.0,1.0,0.0
0.18,0.18,1.1299383453732408,2.743957317896352e-10,1.0,1.0,1.0,0.0
0.19,0.19,1.1382609841630418,2.777833334166678e-10,1.0,1.0,1.0,0.0
0.2,0.2,1.1467204061930463,2.8125562508437606e-10,1.0,1.0,1.0,0.0
0.21,0.21,1.1553203217723849,2.8481582287025427e-10,1.0,1.0,1.0,0.0
0.22,0.22,1.1640645862789334,2.884673077788472e-10,1.0,1.0,1.0,0.0
0.23,0.23,1.172957207700318,2.9221363645129984e-10,1.0,1.0,1.0,0.0
0.24,0.24,1.1820023546689093,2.9605855272039604e-10,1.0,1.0,1.0,0.0
0.25,0.25,1.1912043650301103,3.000060000900011e-10,1.0,1.0,1.0,0.0
0.26,0.26,1.2005677549869136,3.040601352263525e-10,1.0,1.0,1.0,0.0
0.27,0.27,1.210097228867802,3.0822534255822035e-10,1.0,1.0,1.0,0.0
0.28,0.28,1.2197976895696174,3.125062500937512e-10,1.0,1.0,1.0,0.0
0.29,0.29,1.229674249732078,3.16907746573945e-10,1.0,1.0,1.0,0.0
0.3,0.3,1.2397322437062512,3.214350000964299e-10,1.0,1.0,1.0,0.0
0.31,0.31,1.2499772403855614,3.2609347835869696e-10,1.0,1.0,1.0,0.0
0.32,0.32,1.2604150569749348,3.3088897068750144e-10,1.0,1.0,1.0,0.0
0.33,0.33,1.2710517737815223,3.35827612041046e-10,1.0,1.0,1.0,0.0
0.34,0.34,1.281893750119208,3.409159091931833e-10,1.0,1.0,1.0,0.0
0.35,0.35,1.2929476414289993,3.461607693346167e-10,1.0,1.0,1.0,0.0
0.36,0.36,1.3042204177284589,3.5156953135547025e-10,1.0,1.0,1.0,0.0
0.37,0.37,1.3157193835158085,3.571500001071442e-10,1.0,1.0,1.0,0.0
0.38,0.38,1.3274521992684325,3.6291048397984015e-10,1.0,1.0,1.0,0.0
0.39,0.39,1.3394269046914016,3.6885983617623097e-10,1.0,1.0,1.0,0.0
0.4,0.4,1.3516519438896397,3.7500750011250143e-10,1.0,1.0,1.0,0.0
0.41,0.41,1.364136192657816,3.8136355943644206e-10,1.0,1.0,1.0,0.0
0.42,0.42,1.3768889881052373,3.8793879321982907e-10,1.0,1.0,1.0,0.0
0.43,0.43,1.3899201608595144,3.947447369605278e-10,1.0,1.0,1.0,0.0
0.44,0.44,1.4032400701229404,4.017937501205373e-10,1.0,1.0,1.0,0.0
0.45,0.45,1.4168596418901167,4.0909909103181966e-10,1.0,1.0,1.0,0.0
0.46,0.46,1.4307904106749971,4.1667500012500153e-10,1.0,1.0,1.0,0.0
0.47,0.47,1.4450445651410395,4.2453679258019024e-10,1.0,1.0,1.0,0.0
0.48,0.48,1.4596349980807526,4.3270096166827104e-10,1.0,1.0,1.0,0.0
0.49,0.49,1.4745753612514936,4.411852942500018e-10,1.0,1.0,1.0,0.0
0.5,0.5,1.4898801256447494,4.5000900013500195e-10,1.0,1.0,1.0,0.0
0.51,0.51,1.505564647847714,4.591928572806142e-10,1.0,1.0,1.0,0.0
